year,umemploy,recipients,population,ratio
1960,0.017,1627509,93418501,0.74
1961,0.014,1643445,94285000,0.96
1962,0.013,1674001,95178000,1.37
1963,0.013,1744639,96156000,0.7
1964,0.011,1674661,97186000,0.8
1965,0.012,1598821,98274961,0.64
1966,0.013,1570054,99056000,0.74
1967,0.013,1520733,99637000,1
1968,0.012,1449970,100794000,1.12
1969,0.011,1398725,102022000,1.3
1970,0.011,1344306,103119447,1.41
1971,0.012,1325218,104345000,1.12
1972,0.014,1349000,105742000,1.16
1973,0.013,1345549,108079000,1.76
1974,0.014,1312339,109410000,1.2
1975,0.019,1349230,111251507,0.61
1976,0.02,1358316,112420000,0.64
1977,0.02,1393128,113499000,0.56
1978,0.022,1428261,114511000,0.56
1979,0.021,1430488,115465000,0.71
1980,0.02,1426984,116320358,0.75
1981,0.022,1439226,117204000,0.68
1982,0.024,1457383,118008000,0.61
1983,0.026,1468245,118786000,0.6
1984,0.027,1469457,119523000,0.65
1985,0.026,1431117,120265700,0.68
1986,0.028,1348163,120946000,0.62
1987,0.028,1266126,121535000,0.7
1988,0.025,1176258,122026000,1.01
1989,0.023,1099520,122460000,1.25
1990,0.021,1014842,122721397,1.4
1991,0.021,946374,123102000,1.4
1992,0.022,898499,123476000,1.08
1993,0.025,883112,123788000,0.76
1994,0.029,884912,124069000,0.64
1995,0.032,882229,124298947,0.63
1996,0.034,887450,124709000,0.7
1997,0.034,905589,124963000,0.72
1998,0.041,946994,125252000,0.53
1999,0.047,1004472,125432000,0.48
2000,0.047,1072241,125612633,0.59
2001,0.05,1148088,125908000,0.59
2002,0.054,1242723,126008000,0.54
2003,0.053,1344327,126139000,0.64
2004,0.047,1423388,126176000,0.83
2005,0.044,1475838,126204902,0.95
2006,0.041,1513892,126154000,1.06
2007,0.039,1543321,126085000,1.04
2008,0.04,1592620,125947000,0.88
2009,0.051,1763572,125820000,0.47
2010,0.051,1952063,126381728,0.52
2011,0.046,2067244,126180000,0.65
2012,0.043,2135708,125957000,0.8
