enter_univ_rate,year
60.7,2023
59.7,2022
58.1,2021
57.7,2020
56.6,2019
56.3,2018
52.6,2017
52,2016
51.5,2015
51.5,2014
49.9,2013
50.8,2012
51,2011
50.9,2010
50.2,2009
49.1,2008
47.2,2007
45.5,2006
44.2,2005
42.4,2004
41.3,2003
40.5,2002
39.9,2001
39.7,2000
38.2,1999
36.4,1998
34.9,1997
33.4,1996
32.1,1995
30.1,1994
28,1993
26.4,1992
25.5,1991
24.6,1990
24.7,1989
25.1,1988
24.7,1987
23.6,1986
26.5,1985
24.8,1984
24.4,1983
25.3,1982
25.7,1981
26.1,1980
26.1,1979
26.9,1978
26.4,1977
27.3,1976
27.2,1975
25.1,1974
23.4,1973
21.6,1972
19.4,1971
17.1,1970
15.4,1969
13.8,1968
12.9,1967
11.8,1966
12.8,1965
15.5,1964
12,1963
10,1962
9.3,1961
8.2,1960
8.1,1959
8.6,1958
9,1957
7.8,1956
7.9,1955
7.9,1954
,1953
,1952
,1951
,1950
,1949
,1948
